t,x,y
1941.0,0.6527777777955635,1.0
1942.0,0.6527777777955635,1.0
1943.0,0.6527777777955635,1.0
1944.0,0.6527777777955635,1.0
1945.0,0.6527777777955635,1.0
1946.0,0.6527777777955635,1.0
1947.0,0.6527777777955635,1.0
1948.0,0.6527777777955635,1.0
1949.0,0.6527777777955635,1.0
1950.0,0.6527777777955635,1.0
1951.0,0.6527777777955635,1.0
1952.0,0.6527777777955635,1.0
1953.0,0.6527777777955635,1.0
1954.0,0.6527777777955635,1.0
1955.0,0.6527777777955635,1.0
1956.0,0.6527777777955635,1.0
1957.0,0.6527777777955635,1.0
1958.0,0.6527777777955635,1.0
1959.0,0.6527777777955635,1.0
1960.0,0.6527777777955635,1.0
1961.0,0.6527777777955635,1.0
1962.0,0.6527777777955635,1.0
1963.0,0.6527777777955635,1.0
1964.0,0.6527777777955635,1.0
1965.0,0.6527777777955635,1.0
1966.0,0.6527777777955635,1.0
1967.0,0.6527777777955635,1.0
1968.0,0.6527777777955635,1.0
1969.0,0.6527777777955635,1.0
1970.0,0.6527777777955635,1.0
1971.0,0.6527777777955635,1.0
1972.0,0.6527777777955635,1.0
1973.0,0.6527777777955635,1.0
1974.0,0.6527777777955635,1.0
1975.0,0.6527777777955635,1.0
1976.0,0.6527777777955635,1.0
1977.0,0.6527777777955635,1.0
1978.0,0.6527777777955635,1.0
1979.0,0.6527777777955635,1.0
1980.0,0.6527777777955635,1.0
1981.0,0.6527777777955635,1.0
1982.0,0.6527777777955635,1.0
1983.0,0.6527777777955635,1.0
1984.0,0.6527777777955635,1.0
1985.0,0.6527777777955635,1.0
1986.0,0.6527777777955635,1.0
1987.0,0.6527777777955635,1.0
1988.0,0.6527777777955635,1.0
1989.0,0.6527777777955635,1.0
1990.0,0.6527777777955635,1.0
1991.0,0.6527777777955635,1.0
1992.0,0.6527777777955635,1.0
1993.0,0.6527777777955635,1.0
1994.0,0.6527777777955635,1.0
1995.0,0.6527777777955635,1.0
1996.0,0.6527777777955635,1.0
1997.0,0.6527777777955635,1.0
1998.0,0.6527777777955635,1.0
1999.0,0.6527777777955635,1.0
